Light Intensity (approx. inside culture flask),,,,,,,,,
500,ROW,1,2,3,4,5,6,7,8
Tetraselmis striata- LANL (OD750),Temp in Celsius,45.2,40.1,36.4,32.0,27.5,23.4,18.9,14.5
,Temp Std Deviation,0.6,0.5,0.5,0.3,0.3,0.4,0.3,0.4
,RUN 1,0.0,0.0,0.1,1.2,1.6,1.2,0.5,0.1
,RUN 2,0.0,0.0,1.3,2.3,3.7,4.0,2.3,0.7
,RUN 3,0.0,0.4,0.8,2.6,3.6,3.6,2.0,1.6
,RUN 4,0.0,0.6,2.2,1.8,3.4,4.0,2.0,1.7
,RUN 5,0.0,0.0,0.9,1.1,3.4,4.8,2.3,1.8
,RUN 6,,,,,,,,
,RUN 7,,,,,,,,
,RUN 8,,,,,,,,
,Avg,0.00,0.35,1.27,1.94,3.53,4.08,2.15,1.68
,stdev,0.00,0.31,0.65,0.66,0.12,0.49,0.20,0.09
ERROR BARS ->,std error,0.00,0.18,0.32,0.33,0.06,0.25,0.10,0.05
note: all negative rates changed to 0,,,,,,,,,
